구분자(PK),공구 대분류 코드,공구 대분류,공구 중분류 코드,공구 중분류,공구 이름,과금기준,수량,장소 PK,대여장소명,상세주소,위도,경도,전화번호,평일오픈시간,평일클로즈시간,생성일시,요금,cluster,공구 중분류 new
13423,4,기타공구,44,기타공구,고압세척기,없음,1,501,황학동 공구대여소 ,서울특별시 중구 황학동 1010,37.56742,127.02137,02-3396-6909,10:00,17:00,2022-06-14 11:29:16,무료,-1,기타
14913,4,기타공구,44,기타공구,(57)레이저거리측정기,없음,1,172,우리마을 공구대여소(사당1동),서울 동작구 동작대로17길 28,37.4830324,126.9765661,02-820-2571,09:00,18:00,2022-09-21 15:47:07,무료,-1,기타
14038,4,기타공구,44,기타공구,2단 사다리,없음,1,13214,묵1동 공유마을 공유대여소,공릉로2가길 5,37.6123734,127.0784729,02-2094-6400,09:00,18:00,2022-06-22 12:03:54,무료,-1,기타
13678,4,기타공구,44,기타공구,3단사다리,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,09:00,18:00,2022-06-16 17:20:31,무료,193,기타
13677,4,기타공구,44,기타공구,4단사다리,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,09:00,18:00,2022-06-16 17:20:03,무료,-1,기타
16092,4,기타공구,44,기타공구,4방향 냉동라쳇,없음,1,13025,삼성1동 주민센터 공구대여소,서울특별시 강남구 삼성동 161-2,37.5144372,127.0625398,02-3423-7803,09:00,18:00,2023-11-27 10:31:58,무료,12,기타
9988,4,기타공구,44,기타공구,4방향 냉동라쳇,없음,1,13022,도곡1동 주민센터,서울특별시 강남구 도곡동 892-6,37.488238,127.0390246,02-3423-7453,09:00,18:00,2018-11-27 13:56:10,무료,12,기타
15168,4,기타공구,44,기타공구,50m 줄자,없음,2,455,불광2동 공구도서관,서울특별시 은평구 연서로41길 18,37.6263831,126.9272663,02-351-5081,09:00,18:00,2022-11-22 16:47:53,무료,166,기타
13571,4,기타공구,44,기타공구,LCD전자 현미경,1일,1,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,09:00,18:00,2022-06-15 09:36:30,2000원,-1,기타
15470,4,기타공구,44,기타공구,LED 작업등,없음,1,13212,수색동주민센터,서울특별시 은평구 수색동 417-4,37.5835188,126.8936727,02-351-5425,09:00,18:00,2023-04-29 12:49:51,무료,205,기타
16323,4,기타공구,44,기타공구,LED 포토박스,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,09:00,18:00,2024-04-22 19:05:00,2000원,-1,기타
12457,4,기타공구,44,기타공구,LED랜턴,1일,3,13168,집수리지원센터 공구대여소(건축과),서울특별시 성북구 삼선동5가 411,37.5894,127.016749,02-2241-2923,09:00,18:00,2021-10-01 12:59:14,1000원,207,기타
2028,4,기타공구,44,기타공구,led 작업등,없음,1,457,갈현2동 공구도서관,서울특별시 은평구 연서로27길 31-6,37.6185866,126.9158385,02-351-5124,09:00,18:00,2018-01-23 17:33:00,무료,205,기타
2252,4,기타공구,44,기타공구,led 작업등,없음,1,468,진관동 공구도서관,서울특별시 은평구 진관2로 31(진관동주민센터),37.6349324,126.9209775,02-351-5477,09:00,18:00,2018-01-23 17:33:00,무료,205,기타
15593,4,기타공구,44,기타공구,ㄷ형 타카핀,1일,10,13320,성내1동주민센터,서울특별시 강동구 성내동 539-1,37.5304417,127.122425,02-3425-7772,09:00,18:00,2023-05-04 12:41:39,200원,-1,기타
12365,4,기타공구,44,기타공구,가스토치,1일,1,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,09:00,18:00,2021-09-30 15:44:38,500원,15,기타
15057,4,기타공구,44,기타공구,가열총(열풍기),없음,1,334,우리동네 공구도서관(신길3동),서울특별시 영등포구 신길동 268-27,37.5073,126.90775,02-2670-1265,09:00,18:00,2022-11-03 15:41:20,무료,-1,기타
10917,4,기타공구,44,기타공구,가정용 공구세트,없음,2,13042,응암1동주민센터 공구대여소,서울특별시 은평구 응암동 96-3,37.6006884,126.926813,02-351-5215,09:00,18:00,2020-11-25 10:40:05,무료,369,기타
15228,4,기타공구,44,기타공구,거리측정기,1일,1,13229,보문동주민센터,안암로3길 35,37.580383,127.0228,0222415246,09:00,18:00,2023-01-13 16:19:05,1000원,67,기타
14279,4,기타공구,44,기타공구,거리측정기,1일,1,261,장위2동 공구대여소,서울특별시 성북구 돌곶이로27길 12,37.6123899,127.0545206,02-2241-5717,09:00,18:00,2022-06-24 08:15:23,2000원,67,기타
16312,4,기타공구,44,기타공구,거짓말탐지기,1일,1,493,광희동 공구대여소,서울특별시 중구 광희동1가 252,37.56447,127.00504,02-3396-6654,10:30,17:00,2024-04-18 11:02:02,1000원,-1,기타
16847,4,기타공구,44,기타공구,건 타카,없음,1,461,응암2동 공유대여소,서울특별시 은평구 응암동 229-13,37.59458,126.92307,02-351-5264,09:00,18:00,2024-07-02 08:37:10,무료,-1,기타
16310,4,기타공구,44,기타공구,건습식 청소기(집진형),1일,1,493,광희동 공구대여소,서울특별시 중구 광희동1가 252,37.56447,127.00504,02-3396-6654,10:30,17:00,2024-04-18 10:53:43,2000원,-1,기타
15680,4,기타공구,44,기타공구,건타카,없음,1,83,광장동 공구대여소,서울특별시 광진구 광장동 248-24,37.546892,127.103025,02-450-1278,09:00,18:00,2023-06-02 18:01:47,무료,63,기타
12361,4,기타공구,44,기타공구,건타카+타카핀,1일,2,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,09:00,18:00,2021-09-30 15:43:04,1500원,-1,기타
15869,4,기타공구,44,기타공구,경광등,없음,1,13020,개포1동 주민센터 공구대여소,서울특별시 강남구 개포로 303 현대1차상가 1층,37.4824625,127.0544858,02-3423-7670,09:00,18:00,2023-07-25 13:26:04,무료,-1,기타
13649,4,기타공구,44,기타공구,경량몽키,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,09:00,18:00,2022-06-16 16:56:10,무료,219,기타
16167,4,기타공구,44,기타공구,고무롤러,없음,2,119,공릉1동주민센터 공구대여소,서울특별시 노원구 공릉동 499-25,37.624874,127.073838,02-2116-2495,09:00,18:00,2024-02-13 09:29:02,무료,-1,기타
